"HospitalID
DoH Short Code",Hospital,"HospitalID
DoH Short Code",LATITUDE,LONGITUDE,Region,Province,Address,Contact,Type,Service Capability Level,Capacity,"COVID Capacity
(Y/N)",Notes
2777,Ilocos Training and Regional Medical Center,2777,16.591141,120.318309,Region 1,La Union,"Brgy. Parian, San Fernando City, La Union",itrmc2010@yahoo.com,Public - DOH Retained,Level 3,300,,Sources
400,"Lorma Medical Center, Inc. ",400,16.63145,120.317906,Region 1,La Union,"Carlatan, San Fernando City, La Union",072-8882616 / 2423621,Private,Level 3,200,,
5004,"Bethany Hospital, Inc. ",5004,16.614193,120.317705,Region 1,La Union,"Widdoes St., Brgy. II, San Fernando City, La Union",072-2420804 / 6075396 / 6078694,Private,Level 2,80,,
5449,"Urdaneta Sacred Heart Hospital, Inc.",5449,15.980665,120.570839,Region 1,Pangasinan,"McArthur Highway, San Vicente, Urdaneta City, Pangasinan",075-5682294-96 / 6562299 fax / ushhi1@yahoo.com,Private,Level 2,128,,
3225,Tayug Family Hospital,3225,15.99387,120.722854,Region 1,Pangasinan,"Barangobong, Tayug, Pangasinan",075-6324374 / 09088-8141346 / tayugfamilyhospital@yahoo.com,Private,Level 2,48,,
273,Region I Medical Center,273,16.048813,120.341413,Region 1,Pangasinan,"Arellano St., Dagupan City, Pangasinan",region1mc@gmail.com,Public - DOH Retained,Level 2/3,300,,"DOH - List of Licensed Government and Private Hospitals as of Dec 31, 2017 (with loc, contact information, service capability, and ownership classification). "
3120,Medical Centrum Dagupan,3120,16.046177,120.352576,Region 1,Pangasinan,"A.B. Fernandez Ave., East Dagupan City, Pangasinan",075-5225725,Private,Level 2,42,,
3555,Specialist Group Hospital and Trauma Center,3555,16.030802,120.329021,Region 1,Pangasinan,"Tapuac District, Dagupan City, Pangasinan",075-5222254 / 5230131 fax / carl_md2000@yahoo.com,Private,Level 2,80,,
4631,Blessed Family Doctors General Hospital,4631,15.918771,120.355874,Region 1 ,Pangasinan,"Brgy. Ilang, San Carlos City, Pangasinan",075-5312196 / 6332381 / bfdgh_2003@yahoo.com.ph,Private,Level 2,75,,
6871,Pangasinan Doctors Hospital ,6871,15.940091,120.345571,Region 1 ,Pangasinan,"Rizal Ave., San Carlos City, Pangasinan",075-6325870 or 71 / pdhjuly2000@yahoo.com,Private,Level 2,37,,
1917,Pangasinan Provincial Hospital,1917,15.954111,120.349924,Region 1,Pangasinan,"Bolingit, San Carlos City, Pangasinan",075-5323603 / pphscgh@yahoo.com,Public ,Level 2,150,,"DOH - Partial List of Licensed Level 2 and 3 hospitals with Ambulance as of Dec 31, 2018 (with address) "
370,Elguira General Hospital,370,15.937539,120.346523,Region 1,Pangasinan,"259 Rizal Ave., San Carlos City, Pangasinan",075-5324481 / eghfprcci@yahoo.com / shelguira1004@gmail.com,Private,Level 2,30,,
1806,Virgen Milagrosa Medical Center,1806,15.92051,120.341622,Region 1,Pangasinan,"Martin P. Posadas Ave., San Carlos City, Pangasinan",075-6341111 / 5312222 / 9555222 / 2030000 / 6324094 / 6324033 fax,Private,Level 2,75,,
4637,"Nazareth General Hospital, Inc. ",4637,16.040832,120.340372,Region 1,Pangasinan,"203 Perez Blvd., Dagupan City, Pangasinan",075-5220044 / 5221071 / ngh1959@yahoo.com,Private,Level 2,60,,
5122,Jesus Nazarene General Hospital,5122,16.014635,120.232419,Region 1,Pangasinan,"Vicente Solis St., Lingayen, Pangasinan",075-5425758 / 6321467 / 6531457 fax / jngh08@yahoo.com,Private,Level 2,30,,
4701,"Dagupan Doctors Villaflor Memorial Hospital, Inc.",4701,16.037521,120.346883,Region 1,Pangasinan,"McArthur Highway, Mayombo District, Dagupan City, Pangasinan",5232222 / 5220811,Private,Level 2,100,,
4232,"SENOR STO. NINO HOSPITAL, INC.",4232,,,Region 3,Pangasinan,"J. Luna, Bayambang, Luzon",045-9340176 / 9340806 fax / ssnh_agnes@yahoo.com,Private,Level 2,40,,
373,"Luzon Medical Center, Inc.",373,16.03359,120.332355,Region 1,Pangasinan,"329 McArthur Highway, Brgy. Tapuac, Dagupan City",075-5291954 / 6568965 fax / luzonmedical@gmail.com,Private,Level 2,70,,
5789,The Medical City Pangasinan,5789,16.046264,120.340525,Region 1,Pangasinan,"Nable St., Dagupan City, Pangasinan",075-6152273,Private,Level 2,75,,
2162,Cagayan Valley Medical Center,2162,17.656393,121.746703,Region 2,Cagayan,"Maharlika Highway, Carig Sur, Tuguegarao City, Cagayan",078-3020000/3043789 / cvmcr2@gmail.com,Public - DOH Retained,Level 3,500,,OPLAN Metro-Yakal-Plus - Metro manila Earthquake Contingency Plan
8483,"Dr. Ronald P. Guzman Medical Center, Inc.",8483,17.649789,121.755961,Region 2,Cagayan,"Enrile Blvd., Carig, Tuguegarao City, Cagayan",078-3040925-26 / ao_rppgmc@yahoo.com,Private,Level 2,100,,
5071,"St. Paul Hospital of Tuguegarao, Inc. ",5071,17.614009,121.707375,Region 2,Cagayan,"Ugac Highway, Tuguegarao, Cagayan",sph_tuguegarao@yahoo.com.ph,Private,Level 2,250,,
,"Grupo Medico De Dios, Inc.",,,,Region 2,Cagayan,"Bulala, Camalaniugan, Cagayan",0917-8810616 / 0917-5825518 / grupomedicodedios.ph@gmail.com,Private,Level 2,33,,
32023,"Divine Mercy Wellness and Medical Center, Inc. ",32023,,,Region 2,Cagayan,"Arellano cor. Burgos St., Centro 06, Tuguegarao City, Cagayan",078-8444624 / a.dmwc@yahoo.com,Private,Level 2,100,,
3313,Southern Isabela Medical Center,3313,16.680027,121.546576,Region 2,Isabela,"Cor. Recto Ave., Zamora St., Rosario, Santiago City, Isabela",078-3050459 / southern_isabela09@yahoo.com,Public - DOH Retained,Level 2,200,,
6497,"De Vera's Medical Center, Inc.",6497,16.694988,121.5539,Region 2,Isabela,"City Road, Calao East, Santiago City, Isabela",078-3052787 / 3052802 fax / bona_dvgh@yahoo.com,Private,Level 2,50,,
34465,Santiago Medical City ,34465,,,Region 2,Isabela,"Purok 7, Provincial Road, Rizal, Santiago City, Isabela","
(078) 353 9999",Private,Level 2,109,,
2262,"Callang General Hospital and Medical Center, Inc. ",2262,16.692513,121.550464,Region 2,Isabela,"Judge Taguinod St., Centro East, Santiago City, Isabela",078-3050734 / 3051356 fax / callang_hospital@yahoo.com,Private,Level 2,55,,
1688,"Adventist Hospital-Santiago City, Inc. ",1688,16.697168,121.566951,Region 2,Isabela,"Purok 5, National Highway, Mabini, Santiago City, Isabela",078-3050130 / 3050161 fax / jto_21@yahoo.com,Private,Level 2,50,,
30152,"Isabela United Doctors Medical Center, Inc. ",30152,16.948657,121.771717,Region 2,Isabela,"National Highway, Brgy. Cabaruan, Cauayan, Isabela","(078) 652 4177/ 
www.iudmc.com",Private,Level 2/3,,,
5566,"PLTC, Inc., Luis A. Tiam Medical Center",5566,16.534821,121.224255,Region 2,Nueva Vizcaya,"Brgy. Bascaran, Solano, Nueva Vizcaya",0917-5504033 / pltci_luistiaam.medicalcenter@yahoo.com,Private,Level 2,60,,
2703,Region II Trauma and Medical Center,2703,16.483237,121.134277,Region 2,Nueva Vizcaya,"Magsaysay, Bayombong, Nueva Vizcaya, National Highway, Brgy. Roxas, Solano, Nueva Vizcaya",078-8053561-64 / 8053560 fax / veteransregionalhospital@yahoo.com / vrhro21995@gmail.com,Public - DOH Retained,Level 2,200,,
,Salubris Medical Center,,16.521954,121.193767,Region 2,Nueva Vizcaya,"National Highway, Brgy. Roxas, Solano, Nueva Vizcaya",0917-5837600 / 078-3210374 / salubrismedical@gmail.com,Private,Level 2,100,,
427,Bataan Provincial Hospital,427,14.678424,120.530383,Region 3,Bataan,"Manahan St., Tenejero, Balanga City, Bataan",047-2373635 / bgh_bataan2005@yahoo.com.ph,Public - DOH Retained,Level 2,214,,
38108,"CENTRO MEDICO DE SANTISIMO ROSARIO, INC.",38108,14.672724,120.524383,Region 3,Bataan,"Lot 1 PSD 25823 Roman Super Highway, Brgy. Tenejero, Balanga City, Bataan",0917 628 2813,Private,Level 2/3,,,
3008,"Bataan Doctors Hospital and Medical Center, Inc. ",3008,,,Region 3,Bataan,"Cuadermo Street, Dona Francisco Subdivision, Balanga City, Bataan",047-2370164 / batdocs@yahoo.com,Private,Level 2,100,,
4569,Bataan St. Joseph Hospital & Medical Center Corp. ,4569,,,Region 3,Bataan,"Don Manuel Banzon Ave., Brgy. Dona Francisca, Balanga City, Bataan",047-2372009 / bsjb_72@yahoo.com,Private,Level 2,50,,
4757,"Premiere General Hospital of Nueva Ecija, Baler Aurora, inc.",4757,,,Region 3,Aurora,"Brgy. Suklayin, Baler, Aurora",0998-9607195 / premieregeneral@yahoo.com,Private,Level 2,30,,
2949,Sta. Clara de Montefalco Medical Center,2949,,,Region 3,Bulacan,"KM 20, North Diversion Service Road, Malhacan, Meycauayan City, Bulacan",02-9353797 / 044-8963652 / 7699511 fax / staclarademontefalco@yahoo.com,Private,Level 2,100,,
5565,"ST. PAUL HOSPITAL BULACAN, INC.",5565,,,Region 3,Bulacan,"187 J.P. Rizal St., Binang 2nd, Bocaue, Bulacan",044-6925964 / 2786123 / 6825964 fax / sphbulacan_inc@yahoo.com,Private,Level 2,50,,
23616,"Meycauayan Doctors Hospital and Medical Center, Inc.",23616,,,Region 3,Bulacan,"KM 18, McArthur Highway, Banga, Meycauayan City, Bulacan",044-7696450 / meycauayandoctorsh@yahoo.com,Private,Level 2,80,,
31937,"Marymount Hospital, Inc.",31937,,,Region 3,Bulacan,"C.P. Soriente Bldg., Brgy. Camalig, Meycauayan, Bulacan",044-6611049 / marymount_hospital@yahoo.com.ph,,Level 2,100,,
25676,"GRACE GENERAL HOSPITAL, INC.",25676,,,Region 3,Bulacan,"B1 L2 Quirino Highway Ext., Brgy. Mulawin Francsico Homes, City of San Jose Del Monte, Bulacan",02-5194838 / gyrodriguezmd05@gmail.com,Private,Level 2,60,,
31929,"Allied Care Experts (ACE) Medical Center - Baliwag, Inc. ",31929,,,Region 3,Bulacan,"Lot 2975 C-1, Dona Remedios Trinidad Highway, Pinagbarilan, Baliwag, Bulacan",044-8161000 / katherineyuelizon@yahoo.com / acemedicalcenterbaliwag@gmail.com,Private,Level 2,100,,
34463,QUALIMED HEALTH NETWORK SJDM,34463,,,Region 4,Bulacan,"Altaraza, Tungkong Mangga, City of San Jose Del Monte, Bulacan",044-3070000 / sjdm.hospital@qualimed.com.ph,Private,Level 2,105,,
6868,MARCELO-PADILLA CHILDREN’S AND MEDICAL HOSPITAL CORPORATION,6868,,,Region 5,Bulacan,"#393 Banga I, Plaridel, Bulacan",044-7950119 loc 109 / 0922-8316500,Private,Level 2,37,,
5417,"Our Lady of Mercy General Hospital, Inc.",5417,,,Region 3,Bulacan,"DRT Highway, Longos, Pulilan, Bulacan",044-7952505/ 7953969 fax / olmghospital@yahoo.com.ph,Private,Level 2,30,,
4460,Bulacan Medical Center,4460,,,Region 3,Bulacan,"Mojon Road, Malolos City, Bulacan",pho_bulacan@yahoo.com,Public,Level 2/3,300,,
5986,"Nazarenus College and Hospital Foundation, Inc.",5986,,,Region 3,Bulacan,"#133 McArthur Highway, Saluysoy, Meycauayan, Bulacan",044-7115429 / 8154670 fax / ncfh79@gmail.com,Private,level 2,100,,
32086,SKYLINE HOSPITAL AND MEDICAL CENTER,32086,,,Region 3,Bulacan,"Skyline Drive cor. Quirino Highwy, Brgy.
Tugkong Manga, City of San Jose Del Monte,
Bulacan",02-2636700 / 8157770 / sham2015er@gmail.com / hrm.shmc@gmail.com,Private,Level 2,100,,
5617,"Sacred Hospital of Malolos, Inc.",5617,,,Region 3,Bulacan,"Dr. Peralta St., Guinhawa Subdivision, Malolos City, Bulacan",044-7944744 loc 457 / 7944777 loc 428 fax / shhmalolos@yahoo.com,Private,Level 2,72,,
4636,WESLEYAN UNIVERSITY - PHILIPPINES,4636,,,Region 3,Cabanatuan,"Tandang Sora St., Mabini Extension, Cabanatuan City",044-4634735 / 4636628 fax / wuphospital@yahoo.com,Private,Level 2,100,,
1892,"IMMACULATE CONCEPTION MEDICAL CENTER OF CENTRAL LUZON, INC.",1892,,,Region 3,Cabanatuan,"Circumferential Road, San Juan Accfa, Cabanatuan City",044-9400300 / 9404262 fax / immaculateconceptionmc@yahoo.com,Private,Level 2,76,,
399,"NUEVA ECIJA DOCTORS’ HOSPITAL, INC.",399,,,Region 3,Cabanatuan,"Maharlika Highway, Sumacab Este, Cabanatuan City",044-9400176 / 9406890 fax / nedhi_69@yahoo.com / nedh.secretary@gmail.com,Private,Level 3,133,,
269,TARLAC PROVINCIAL HOSPITAL,269,,,Region 3,Tarlac,"Hospital Drive, San Vicente, Tarlac City",4918970 loc 214 / 045-9821306 fax / tarlacprovincialhospital@yahoo.com,Public,Level 3,408,,
3833,TALON GENERAL HOSPITAL,3833,,,Region 3,Tarlac,"F. Tanedo St., Poblacion, Tarlac City",045-98220239 / 9821400 / 9825415 / 9623889 fax,Private,Level 2,50,,
37096,LOVING MOTHER GENERAL HOSPITAL AND DIAGNOSTIC CENTER INC.,37096,,,Region 3,Tarlac,"Block 6, F. Tanedo, San Nicolas, Tarlac City",045-4708502-03,Private,Level 2,100,,
393,RAMOS GENERAL HOSPITAL,393,,,Region 3,Tarlac,"P. Hilario Street, Ligtasan",045-9820542 / 9827074 fax / rgh_tarlac@yahoo.com,Private,Level 2,90,,
6688,"CENTRAL LUZON DOCTORS' HOSPITAL, INC.",6688,,,Region 3,Tarlac,"Hospital Drive, San Vicente, Tarlac City",045-9820806 / 9824430 fax / mail@cldh.com.ph,Private,Level 3,175,,
2882,JECSONS MEDICAL CENTER,2882,,,Region 3,Tarlac,"McArthur Highway, Brgy. San Nicolas, Tarlac City",045-9825501 / 9823510 fax / jecsons03@yahoo.com,Private,Level 2,180,,
35325,CAPAS MEDICAL CENTER,35325,,,Region 3,Tarlac,"McArthur Highway, Brgy. Sto. Domingo 2nd, Capas, Tarlac",6150430 / 0995-3737326 / 0916-4392894 / capasmedicalcenter2017@gmail.com,Private,Level 2,50,,
269,Tarlac Provincial Hospital,269,15.474723,120.586797,Region 3,Tarlac,"KM 144, National Highway, Brgy. Samput, Paniqui, Tarlac",4918970 loc 214 / 045-9821306 fax / tarlacprovincialhospital@yahoo.com,Public,Level 3,408,,
3960,PREMIERE MEDICAL CENTER,3960,,,Region 3,Nueva Ecija,"Maharlika Highway, Daan Sarile, Cabanatuan City, Nueva Ecija",044-4637845-49 / 4635868 fax / premiere_medcenter@yahoo.com.ph,Private,Level 3,150,,
392,"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",392,,,Region 3,Nueva Ecija,"San Vicente, Bucana, Gapan City, Nueva Ecija",044-4631582-85 / 4643969 fax / negoodsamaritanhospital@gmail.com,Private,Level 2,76,,
276,Dr. Paulino J. Garcia Memorial Research and Medical Center,276,15.489665,120.9729,Region 3,Nueva Ecija,Cabanatuan City,dr_hubertolapuz@yahoo.com,Public - DOH Retained,Level 3,400,,
4699,"St. Raphael Foundation & Medical Center, Inc. ",4699,,,Region 3,Pampanga,"McArthur Highway, Brgy. Camachiles, Dau, Mabalacat, Pampanga",045-8922688 / 3311288 / 3311027 fax / straphaelmedicalcenter_srtmcl@yahoo.com,Private,Level 2,80,,
34411,Pampanga Premier Medical Center Inc. ,34411,,,Region 3,Pampanga,"McArthur Highway, Brgy. Sampaloc, Apalit, Pampanga",045-4250084,Private,Level 2,66,,
4700,"Angeles Medical Center, Inc. ",4700,,,Region 3,Pampanga,"#641 Rizal St., Angeles City",045-8873139 / 3234448 fax / amc_inc72@yahoo.com,Private,Level 2,100,,
4225,"PAMPANGA MEDICAL SPECIALIST HOSPITAL, INC",4225,,,Region 3,Pampanga,"Km. 80, Jose Abad Santos Ave., San Antonio, Guagua",pms_hospital@yahoo.com,Private,Level 2,80,,
2740,Angeles University Foundation Medical Center,2740,,,Region 3,Pampanga,"McArthur Highway, Angeles City",045-6252999 / 6252932 fax / md_aufmc@yahoo.com,Private,Level 3,170,,
2820,"Dr. Amando L. Garcia Medical Center, Inc.",2820,,,Region 3,Pampanga,"648 Rizal St., Agapito Del Rosario, Angeles City",8882571 / 3224847 / 8885573 / dagmc_1971@yahoo.com / dalgmci1971@gmail.com,Private,Level 2,100,,
5661,SACRED HEART MEDICAL CENTER ,5661,,,Region 3,Pampanga,"McArthur Highway, Brgy. Sto. Domingo, Angeles City",045-6245606-12 / 6245335 fax / sacredheartmedicalcenter@yahoo.com,Private,Level 2,75,,
5085,"ST. CATHERINE OF ALEXANDRIA
FOUNDATION & MEDICAL CENTER",5085,,,Region 3,Pampanga,"#4163 Rizal Street Ext., Cut-cut, Angeles City",045-8887209 / 32222941 / 3224256 fax / scafmc_a@yahoo.com / hr.scafmc@gmail.com,Private,Level 2,40,,
38109,Philippine Rehabilitation Institute (PRI),38109,,,Region 3,Pampanga,"Blk 6, Lot 11, Arayat Blvd., Brgy. Pampang, Angeles City",0917-6270646/ 0917-3167992 / primedctr10@yahoo.com,Private,Level 2,108,,
23754,"OUR LADY OF MT. CARMEL MEDICAL CENTER-CLARK, INC.",23754,,,Region 3,Pampanga,"Ninoy Aquino Avenue, Clark Special Economic Zone, Clarkfield",045-4990103 / 4991446 / mtcarmelclark@gmail.com,Private,Level 2,50,,
4078,San Fernando Hospital,4078,,,Region 3,Pampanga,"McArthur Highway, San Fernando",045-9615105 / 4098462 fax / sfhospital@yahoo.com,Private,Level 2,90,,
5093,"V.L. MAKABALI MEMORIAL HOSPITAL, INC",5093,,,Region 3,Pampanga,"B. Mendoza Street, Sto. Rosario, City of San Fernando",045-9612234 / 9612442 fax / makabali_hospital@yahoo.com,Private,Level 2,97,,
4330,"OUR LADY OF MT. CARMEL MEDICAL CENTER, INC.",4330,,,Region 3,Pampanga,"Km. 78 Mc-Arthur Hi-way, Brgy. Saguin, City of San Fernando, Pampanga",045-4352420 / 4551416 fax / olmcmc@yahoo.com,Private,Level 3,108,,
3314,MOTHER TERESA OF CALCUTTA MEDICAL CENTER,3314,,,Region 3,Pampanga,"McArthur Highway Brgy. Maimpis, City of San Fernando",045-8614607-11 / 4552135 fax / lacsonmalu@yahoo.com / lavermemanguerra@yahoo.com,Private,Level 2,172,,
5563,"The Medical City Clark, Inc",5563,,,Region 3,Pampanga,"100 Gatwick Gateway Sabah Al-Ahmad Global Gateway Logistics City, Industrial Estate 5, Clark Freeport Zone",045-3008888,Private,Level 2,100,,
32094,"FLORIDABLANCA DOCTORS’ HOSPITAL, INC.",32094,,,Region 3,Pampanga,"Valdez, Floridablanca",0908-8636311 / 6242298 / 6242297 fax / fdhi.jette@gmail.com,Private,Level 2,100,,
271,Jose B. Lingad Memorial Regional Hospital,271,15.034472,120.684486,Region 3,Pampanga,"Dolores, City of San Fernando, Pampanga",045-9613544 / 9613437 / jbmgh_2012@yahoo.com.ph,Public - DOH Retained,Level 3,250,,
7694,"OUR LADY OF LOURDES INTERNATIONAL
MEDICAL CENTER, INC.",7694,,,Region 3,Zambales,"#2 National Highway, Brgy. Baretto, Olongapo City",047-2229011-13 / 2229012-13 loc 160 / mail@ollimc.com,Private,Level 2,99,,
23755,"Allied Care Experts (ACE) Medical Center - Baypointe, Inc. ",23755,,,Region 3,Zambales,"Block 8, Lot 1A and 1B Dewey Ave., CBD Area, Subic Bay Freeport Zone",047-2506070 / 2500534 fax ,Private,Level 2,87,,
4704,Pres. Ramon Magsaysay Memorial Hospital,4704,15.316109,119.991463,Region 3,Zambales,"Brgy. Palanginan, Iba",047-8117212 / 6021541 / pho.zambales@yahoo.com,Public,Level 2 ,150,,
272,James L. Gordon Memorial Hospital,272,14.827112,120.280038,Region 3,Zambales,"No. 1 Perimeter Road, NewAsinan, Olongapo City",047-6021229 to 1230 / 6021228 / 2222232 fax / jlgordonhospital@gmail.com,Public,Level 3,270,,
2180,George Dewey Medical & Wellness Center,2180,,,Region 3,Zambales,"Bldg. 3000 Villa Amorosa, Upper Cubi Point, Subic Bay, Freeport Zone",047-2528395 / 2500971,Private,Level 2,50,,
5082,"MARY MEDIATRIX MEDICAL CENTER, INC.",5082,13.9439574,121.1500746,Region 4-A,Batangas,"J.P. Laurel Highway, Mataas na Lupa, Lipa City",043-7736800/ 7736861 fax/ mmmcadm@mmmc.ph,Private,Level 3,200,,
6883,Metro Balayan Medical Center,6883,13.9497101,120.725742,Region 4-A,Batangas,"National Highway, Caloocan, Balayan",043-2116556 fax / metrobalayanmedicalcenter@yahoo.com,Private,Level 2,58,,
2505,C.P. REYES HOSPITAL,2505,14.0844253,121.1473205,Region 4-A,Batangas,"A. Mabini Ave., Tanauan City",043-7845401-06 / 7781629 / 7781620 / recruitment_cprh@yahoo.com / tqm@cpreyeshospital.com,Private,Level 2,137,,
31982,UNITED DOCTORS OF ST. CAMILLUS DE LELLIS HOSPITAL,31982,13.7819775,121.0537843,Region 4-A,Batangas,"Diversion Road, Barangay Bolbok, Batangas City",043-7403087-88/ 7403086 fax/ stcamillus_fn23@yahoo.com/ stcamillus_fn23@gmail.com,Private,Level 2,41,,
4182,N.L. VILLA MEMORIAL MEDICAL CENTER,4182,13.9387999,121.163248,Region 4-A,Batangas,"F. Manalo St., Lipa City","043-7564871, 043-7564872/ TF 7571281/ 02-5525090",Private,Level 2,99,,
667,METRO LIPA MEDICAL CENTER,667,13.9684328,121.1644583,Region 4-A,Batangas,"J.P. Laurel Highway, Brgy. Marawoy, Lipa City",043-7560549/ 7028198/ metrolipamedicalcenter@yahoo.com,Private,Level 2,48,,
3888,"SAN ANTONIO MEDICAL CENTER OF LIPA, INC.",3888,13.9422655,121.1628825,Region 4-A,Batangas,"#2 C.M. Recto Ave., Lipa City, Batangas",043-7562522/ 7565720 fax/ 7561980/ sanantonio_gen1970@yahoo.com,Private,Level 2,25,,
5796,DANIEL O. MERCADO MEDICAL CENTER,5796,14.079524,121.1489063,Region 4-A,Batangas,"No. 1 Pres. Laurel Highway, Tanauan City, Batangas",043-7781810/ 7780960/ aaaguirre@dmmcinc.com,Private,Level 3,127,,
665,METRO LEMERY MEDICAL CENTER,665,13.8875292,120.9113813,Region 4-A,Batangas,"Palanas, Lemery, Batangas",043-4090480 / 5194878 / 7400245 fax / metrolemerymedicntr@yahoo.com,Private,Level 2,72,,
1911,Lemery Doctors Medical Center,1911,13.8770024,120.9150935,Region 4-A,Batangas,"R. Diokno St., Lemery, Batangas",043-4111531 / 40927716 fax / lemerydoctors@yahoo.com,Private,Level 2,40,,
24435,MEDICAL CENTER WESTERN BATANGAS,24435,13.9539505,120.7292502,Region 4-A,Batangas,"Brgy. Lanatan, Balayan",043-4071103 / 4071101 fax / medicalcenterwesternbatangas@yahoo.com,Private,Level 2,40,,
24436,Metro San Jose Medical Center,24436,13.9216987,121.1033997,Region 4-A,Batangas,"National Highway, Banaybanay 2nd, San Jose",043-7260207 / 7025490,Private,Level 2,50,,
4691,"St. Frances Cabrini Medical Center, Inc.",4691,14.1089715,121.1434165,Region 4-A,Batangas,"Maharlika HIghway, Poblacion 2, Sto. Tomas",043-7784811-15 / 87784819 fax / cabrini.medicalcenter@gmail.com,Private,Level 2,100,,
3111,Our Lady of Caysasay Medical Center,3111,13.8812405,120.9132517,Region 4-A,Batangas,"V. Illustre Ave., Lemery, Batangas",043-4091888-92 / 4110980-83 / 4090088 fax,Private,Level 2,100,,
5148,Taal Polymedic Hospital and Medical Center,5148,13.88594,120.9397109,Region 4-A,Batangas,"Diversion Road, Carsuche, Taal",043-2142384 / 7065116 / tphmedcen96@yahoo.com,Private,Level 2,40,,
2829,BATANGAS MEDICAL CENTER,2829,13.7668617,121.0641154,Region 4-A,Batangas,"Kumintang Ibaba, Batangas City",043-7408307 / 7230165 fax / batmedcen@yahoo.com,Public - DOH Retained,Level 3,400,,
38110,BATANGAS HEALTHCARE SPECIALISTS MEDICAL CENTER,38110,13.7876482,121.0580377,Region 4-A,Batangas,"Diversion Road, Barangay Alangilan, Batangas City","
(043) 741 1888",Private ,Level 2/3,,,
5483,"GOLDEN GATE GENERAL HOSPITAL, INC.",5483,13.7576692,121.0595461,Region 4-A,Batangas,"17 P. Prieto St., Brgy. 4, Poblacion, Batangas City",043-7238508/ 7237693 fax/ gggh_HR@yahoo.com,Private ,Level 2,100,,
4334,SAINT PATRICK'S HOSPITAL MEDICAL CENTER,4334,13.7555318,121.0596878,Region 4-A,Batangas,Lopez Jaena St.,043-7230754/ 7238386 fax/ sphmc_hr@ymail.com,Private,Level 3,100,,
